t_ps,beta_core_rmsd,contact_jaccard
33350,9.1602,0.5119
33400,9.0568,0.5000
33450,9.3186,0.4968
33500,8.9027,0.5154
33550,9.2221,0.5076
33600,8.9483,0.5174
33650,8.9171,0.5066
33700,9.4953,0.5064
33750,9.0585,0.5032
33800,8.8328,0.5075
33850,8.8130,0.5177
33900,8.4883,0.5243
33950,8.8767,0.5044
34000,8.5757,0.5252
34050,8.7822,0.5231
34100,9.2274,0.4935
34150,9.2488,0.5054
34200,9.2909,0.5152
34250,9.4358,0.5011
34300,9.3798,0.5000
34350,9.2656,0.5043
34400,9.0288,0.5187
34450,8.6437,0.5220
34500,8.8421,0.5153
34550,8.7282,0.5044
34600,8.8333,0.5077
34650,9.0477,0.5033
34700,9.1068,0.5109
34750,9.2641,0.5087
34800,9.2866,0.4839
34850,9.2509,0.5220
34900,9.0105,0.5022
34950,9.0411,0.4880
35000,8.8597,0.4880
35050,8.8035,0.4935
35100,9.0095,0.4871
35150,8.8731,0.5022
35200,9.1127,0.4978
35250,8.9942,0.5033
35300,8.7804,0.5000
35350,8.8373,0.4881
35400,8.9746,0.4945
35450,8.6437,0.4946
35500,8.8712,0.4956
35550,8.9769,0.5065
35600,8.4961,0.4957
35650,8.5717,0.5110
35700,8.4401,0.5043
35750,8.4128,0.5119
35800,8.5741,0.5032
35850,8.5887,0.5055
35900,8.8057,0.5154
35950,8.9685,0.5251
36000,8.8826,0.5142
36050,9.0060,0.5075
36100,9.2742,0.5290
36150,9.2302,0.5111
36200,9.3704,0.5078
36250,8.9929,0.4881
36300,9.3452,0.4902
36350,8.6804,0.4956
36400,8.4141,0.4893
36450,8.3967,0.4702
36500,8.4971,0.4784
36550,8.1150,0.4870
36600,8.1438,0.4871
36650,7.9926,0.5066
36700,8.3037,0.4796
36750,8.3711,0.4913
36800,8.3309,0.4848
36850,8.4172,0.4934
36900,8.5397,0.4946
36950,8.5893,0.5011
37000,8.5868,0.4924
37050,8.7326,0.4742
37100,8.5496,0.4662
37150,8.3522,0.4816
37200,8.6143,0.4892
37250,8.6609,0.4956
37300,8.4727,0.4912
37350,8.4845,0.4838
37400,8.5355,0.4707
37450,8.4194,0.4761
37500,8.6687,0.4868
37550,8.1153,0.4946
37600,8.0263,0.4978
37650,8.1027,0.4902
37700,8.3664,0.5000
37750,8.2925,0.5000
37800,8.5052,0.4890
37850,8.6781,0.5000
37900,8.6788,0.4703
37950,8.7528,0.4859
38000,8.7413,0.4828
38050,8.5430,0.4891
38100,8.7805,0.4933
38150,8.9486,0.4849
38200,9.1881,0.4684
38250,9.1152,0.4889
38300,9.2209,0.4779
38350,9.4202,0.4890
38400,9.0384,0.4683
38450,9.8399,0.4868
38500,9.1974,0.4738
38550,9.0212,0.4912
38600,8.8104,0.4891
38650,8.7685,0.4761
38700,8.7933,0.4966
38750,9.0379,0.4693
38800,9.0808,0.5011
38850,9.1105,0.4842
38900,9.0630,0.4803
38950,9.1679,0.4679
39000,9.0944,0.4846
39050,8.7988,0.5000
39100,8.8347,0.4922
39150,8.6234,0.4761
39200,8.5987,0.4783
39250,8.5993,0.4708
39300,8.5224,0.4749
39350,8.7680,0.4677
39400,8.7151,0.4730
39450,9.2081,0.4726
39500,9.3460,0.4845
39550,8.8785,0.4735
39600,9.1232,0.4880
39650,9.1973,0.4834
39700,8.9393,0.4761
39750,8.8857,0.4736
39800,9.1808,0.4703
39850,9.1327,0.4705
39900,8.6223,0.4766
39950,8.6645,0.4733
40000,8.6932,0.4902
40050,8.7861,0.4773
40100,8.8717,0.4705
40150,8.8615,0.4707
40200,9.2784,0.4792
40250,9.3840,0.4889
40300,9.3823,0.4824
40350,9.1547,0.4707
40400,9.3708,0.4803
40450,9.1562,0.4749
40500,9.2019,0.4667
40550,8.8438,0.4901
40600,8.8199,0.4857
40650,8.8191,0.4854
40700,9.1499,0.4802
40750,8.8229,0.4922
40800,8.7236,0.4978
40850,8.6280,0.4763
40900,8.9362,0.4737
40950,8.9711,0.4822
41000,9.2574,0.4878
41050,9.4432,0.4967
41100,9.1509,0.5148
41150,9.2801,0.4989
41200,9.0379,0.4900
41250,8.8253,0.5011
41300,8.4030,0.5011
41350,8.8823,0.5000
41400,8.7405,0.5057
41450,8.3608,0.5286
41500,8.3764,0.4899
41550,8.6789,0.5000
41600,8.4532,0.5056
41650,8.6128,0.5033
41700,8.4819,0.5011
41750,8.7477,0.4944
41800,8.8277,0.4865
41850,8.9015,0.4879
41900,8.9897,0.4945
41950,8.7489,0.4989
42000,8.7785,0.4967
42050,8.7637,0.5102
42100,8.4215,0.5056
42150,8.7627,0.5189
42200,8.3791,0.4944
42250,8.7966,0.4989
42300,8.4881,0.4967
42350,8.7769,0.4934
42400,9.1866,0.5045
42450,8.9194,0.5045
42500,8.9225,0.4783
42550,8.6434,0.4868
42600,8.1702,0.5227
42650,8.0554,0.4867
42700,8.2361,0.5034
42750,7.8172,0.5162
42800,7.7485,0.4944
42850,7.6117,0.5069
42900,7.7975,0.5011
42950,7.6910,0.5113
43000,7.5901,0.5046
43050,7.6835,0.5057
43100,7.7000,0.4977
43150,7.6027,0.4831
43200,7.5825,0.4956
43250,7.7383,0.5090
43300,8.1847,0.4955
43350,8.1476,0.5102
43400,7.6239,0.4910
43450,7.8524,0.5089
43500,7.7447,0.5112
43550,8.1015,0.4945
43600,8.5291,0.5022
43650,8.2986,0.5146
43700,8.2381,0.5112
43750,8.3753,0.5156
43800,8.5433,0.5124
43850,8.5936,0.5147
43900,8.3381,0.5079
43950,8.2739,0.5216
44000,8.6854,0.5147
44050,8.7090,0.5282
44100,8.7163,0.5327
44150,8.3201,0.5258
44200,8.2351,0.5459
44250,8.1388,0.5374
44300,8.7791,0.5318
44350,8.5114,0.5100
44400,8.5105,0.5576
44450,8.4509,0.5302
44500,8.7744,0.5327
44550,8.4417,0.5463
44600,8.2062,0.5594
44650,8.1533,0.5341
44700,8.3238,0.5581
44750,8.1248,0.5287
44800,8.0056,0.5279
44850,7.8893,0.5297
44900,8.0320,0.5294
44950,8.0285,0.5204
45000,8.5419,0.5124
45050,8.5840,0.5250
45100,8.4882,0.5282
45150,8.3239,0.5258
45200,8.4409,0.5360
45250,8.3182,0.5180
45300,8.4590,0.5156
45350,8.5869,0.5135
45400,8.9303,0.5322
45450,8.9898,0.5235
45500,8.6974,0.5475
45550,8.4734,0.5301
45600,8.8298,0.5156
45650,8.5817,0.5314
45700,8.5778,0.5271
45750,8.8176,0.5492
45800,8.6903,0.5055
45850,8.7519,0.5341
45900,9.1742,0.5280
45950,8.3746,0.5308
46000,8.3603,0.5177
46050,8.1170,0.5190
46100,8.0025,0.5222
46150,8.0430,0.5385
46200,8.1557,0.5350
46250,8.3454,0.5283
46300,8.2451,0.5286
46350,7.9849,0.5298
46400,7.9057,0.5376
46450,8.1262,0.5315
46500,8.4051,0.5293
46550,8.5872,0.5246
46600,8.6325,0.5067
46650,8.0881,0.5339
46700,8.1780,0.5275
46750,8.4330,0.5166
46800,8.7666,0.5078
46850,8.5272,0.5246
46900,8.3871,0.5167
46950,8.3339,0.5134
47000,8.6053,0.5362
47050,8.3462,0.5545
47100,8.5499,0.5212
47150,8.1928,0.5324
47200,8.2402,0.5326
47250,8.1493,0.5282
47300,8.7050,0.5165
47350,8.3772,0.5190
47400,8.4837,0.5022
47450,8.2172,0.5288
47500,8.9163,0.5301
47550,8.9270,0.5246
47600,8.7105,0.5238
47650,8.5334,0.5068
47700,8.4274,0.5089
47750,8.4397,0.5135
47800,8.5863,0.5200
47850,8.5914,0.5033
47900,8.6055,0.5225
47950,8.6646,0.5193
48000,8.5052,0.5056
48050,8.8306,0.4922
