t_ps,beta_core_rmsd,contact_jaccard
29350,6.0554,0.5778
29400,6.4593,0.5704
29450,6.3613,0.5672
29500,6.6903,0.5921
29550,6.8131,0.5634
29600,7.0618,0.5672
29650,6.7651,0.5848
29700,6.9095,0.5815
29750,6.8921,0.6138
29800,6.5613,0.5949
29850,6.6105,0.5529
29900,6.3305,0.5496
29950,6.1605,0.5980
30000,5.7196,0.5766
30050,5.9985,0.5693
30100,6.1856,0.5711
30150,6.4886,0.5639
30200,6.5707,0.5795
30250,6.3495,0.5665
30300,6.2130,0.5569
30350,6.2388,0.5637
30400,6.2233,0.5693
30450,6.0640,0.5782
30500,6.4263,0.5821
30550,6.3784,0.5955
30600,6.3147,0.5961
30650,6.4066,0.6045
30700,6.4426,0.5910
30750,6.1888,0.5852
30800,6.1321,0.5780
30850,6.1997,0.5791
30900,6.3141,0.5905
30950,6.0705,0.6020
31000,6.0204,0.5764
31050,6.0508,0.5778
31100,6.1272,0.5714
31150,6.1243,0.5815
31200,6.1401,0.5564
31250,6.0970,0.5725
31300,6.0439,0.5686
31350,6.1023,0.5784
31400,6.1361,0.5742
31450,6.4865,0.5749
31500,6.1631,0.5934
31550,6.1767,0.5736
31600,6.1274,0.5835
31650,6.2643,0.5788
31700,6.1827,0.5809
31750,6.2462,0.5697
31800,6.2233,0.5817
31850,6.2232,0.5788
31900,6.3377,0.5825
31950,6.5717,0.5613
32000,6.6810,0.5634
32050,6.7887,0.5617
32100,6.5359,0.5804
32150,6.9053,0.5542
32200,6.6593,0.5675
32250,6.8234,0.5362
32300,6.7421,0.5679
32350,6.4708,0.5746
32400,7.0261,0.5601
32450,6.6774,0.5856
32500,6.6807,0.5700
32550,6.3227,0.5750
32600,6.3618,0.5686
32650,6.7713,0.5463
32700,7.0311,0.5602
32750,7.1292,0.5644
32800,7.0146,0.5616
32850,6.9772,0.5435
32900,6.9017,0.5553
32950,6.5847,0.5746
33000,6.4302,0.5605
33050,6.2745,0.5758
33100,6.4546,0.5815
33150,6.4404,0.5746
33200,6.8183,0.5686
33250,6.4777,0.5821
33300,6.3619,0.5771
33350,6.0552,0.5960
33400,6.2685,0.5852
33450,6.2439,0.5919
33500,6.2769,0.5721
33550,6.3704,0.5697
33600,6.5313,0.5728
33650,6.1541,0.5679
33700,6.4906,0.5779
33750,6.3408,0.5547
33800,6.0589,0.5613
33850,6.0778,0.5810
33900,6.3166,0.5658
33950,5.6652,0.5840
34000,5.8721,0.5878
34050,6.0332,0.5754
34100,6.0050,0.5985
34150,6.3046,0.5854
34200,6.1972,0.5783
34250,5.9413,0.5700
34300,6.1024,0.5668
34350,5.7504,0.5797
34400,6.0538,0.5736
34450,6.2008,0.5938
34500,6.1000,0.5788
34550,6.0422,0.5846
34600,6.2658,0.5897
34650,6.2020,0.5722
34700,6.4387,0.5689
34750,6.3616,0.5721
34800,6.2029,0.5753
34850,6.1689,0.5757
34900,6.5338,0.5588
34950,6.7060,0.5665
35000,6.4751,0.5633
35050,6.4071,0.5866
35100,6.4137,0.5808
35150,6.4494,0.5542
35200,6.7060,0.5539
35250,6.5133,0.5575
35300,6.3137,0.5806
35350,6.4841,0.5534
35400,6.2885,0.5662
35450,6.0522,0.5658
35500,6.0873,0.5815
35550,6.1043,0.5577
35600,5.9011,0.5746
35650,6.2783,0.5494
35700,6.0338,0.5461
35750,6.0966,0.5588
35800,6.5386,0.5786
35850,6.2784,0.5767
35900,6.2856,0.5850
35950,6.2891,0.5753
36000,6.1099,0.5816
36050,6.3044,0.5599
36100,6.1159,0.5808
36150,6.4115,0.5707
36200,6.3343,0.5746
36250,6.1356,0.5746
36300,6.2545,0.5796
36350,6.1915,0.5619
36400,5.9861,0.5819
36450,6.2451,0.5782
36500,6.3663,0.5714
36550,6.4428,0.5808
36600,6.2265,0.6020
36650,6.2798,0.5835
36700,6.3428,0.5780
36750,6.3532,0.5776
36800,6.5366,0.5649
36850,6.5194,0.5642
36900,6.3153,0.5595
36950,6.5678,0.5522
37000,6.4306,0.5758
37050,6.5263,0.5833
37100,6.1906,0.5699
37150,6.2502,0.5736
37200,6.1861,0.5891
37250,6.2862,0.5781
37300,5.8993,0.5818
37350,6.2792,0.5652
37400,6.5266,0.5479
37450,6.1409,0.5434
37500,6.5422,0.5558
37550,6.4168,0.5505
37600,6.7043,0.5636
37650,6.9201,0.5600
37700,6.7695,0.5489
37750,6.9642,0.5572
37800,6.8171,0.5678
37850,6.8493,0.5356
37900,6.9203,0.5662
37950,6.6480,0.5484
38000,6.6999,0.5491
38050,6.7547,0.5300
38100,6.9903,0.5500
38150,7.1259,0.5268
38200,7.3145,0.5316
38250,7.2940,0.5340
38300,7.2340,0.5322
38350,7.5120,0.5387
38400,6.8940,0.5439
38450,6.8468,0.5638
38500,7.0605,0.5348
38550,7.0894,0.5327
38600,7.0255,0.5344
38650,6.9069,0.5427
38700,7.1882,0.5404
38750,6.7361,0.5457
38800,7.1330,0.5381
38850,7.0139,0.5148
38900,7.1630,0.5073
38950,7.2180,0.5285
39000,7.0796,0.5212
39050,6.9626,0.5300
39100,6.6801,0.5448
39150,6.2384,0.5490
39200,6.1568,0.5696
39250,6.2572,0.5711
39300,6.6171,0.5392
39350,6.5138,0.5578
39400,6.7113,0.5671
39450,6.9601,0.5272
39500,6.7754,0.5411
39550,6.5615,0.5707
39600,6.3410,0.5586
39650,6.4436,0.5452
39700,6.0649,0.5671
39750,6.1580,0.5608
39800,6.3235,0.5636
39850,5.8071,0.5665
39900,5.5043,0.5779
39950,5.4880,0.5550
40000,5.9145,0.5707
40050,5.7197,0.5704
40100,6.1191,0.5664
40150,6.4501,0.5743
40200,6.4317,0.5850
40250,6.3556,0.5766
40300,6.3677,0.5900
40350,6.9185,0.5869
40400,7.0425,0.5896
40450,6.8485,0.5796
40500,7.3856,0.5827
40550,7.0713,0.5746
40600,7.4213,0.5905
40650,7.2215,0.5639
40700,7.1152,0.5700
40750,6.7806,0.5852
40800,6.7227,0.5819
40850,6.0358,0.5980
40900,6.0971,0.5929
40950,6.3659,0.5876
41000,6.1716,0.5772
41050,5.9752,0.6000
41100,5.6175,0.6087
41150,5.5968,0.6199
41200,5.4502,0.6148
41250,6.0435,0.6067
41300,6.0666,0.6015
41350,6.1640,0.6416
41400,5.8867,0.6280
41450,6.1724,0.6162
41500,6.2437,0.5865
41550,6.0006,0.6056
41600,6.0613,0.5970
41650,6.1171,0.5909
41700,6.2182,0.5990
41750,6.0374,0.5789
41800,6.2961,0.5782
41850,5.9458,0.5821
41900,6.2951,0.5985
41950,6.1771,0.5782
42000,6.3307,0.5893
42050,6.4035,0.6026
42100,5.9700,0.5954
42150,6.2517,0.6035
42200,6.4215,0.5743
42250,6.4388,0.5728
42300,6.3995,0.5881
42350,6.4582,0.5679
42400,6.3304,0.5786
42450,6.3961,0.6021
42500,6.4224,0.5800
42550,6.7510,0.5809
42600,6.4991,0.5811
42650,6.1963,0.5892
42700,6.0452,0.5975
42750,6.2935,0.5918
42800,6.3087,0.5893
42850,6.6739,0.5685
42900,6.9743,0.6000
42950,6.8983,0.5923
43000,6.7648,0.5884
43050,6.8977,0.5827
43100,7.3860,0.6026
43150,7.2830,0.5906
43200,7.1558,0.5825
43250,7.3207,0.5808
43300,6.9723,0.5772
43350,6.7439,0.5601
43400,7.0241,0.5758
43450,6.9488,0.5754
43500,7.2178,0.5863
43550,6.9708,0.5872
43600,7.2140,0.5857
43650,7.5043,0.5678
43700,7.3776,0.5642
43750,7.2710,0.5789
43800,7.4986,0.5739
43850,7.3423,0.5609
43900,7.2110,0.5876
43950,7.7463,0.5633
44000,7.2336,0.5610
44050,7.2506,0.5758
44100,7.4732,0.5692
44150,7.0944,0.5863
44200,6.7934,0.5671
44250,6.7658,0.5844
44300,6.6057,0.5827
44350,6.5583,0.5789
44400,6.0284,0.5910
44450,6.0189,0.5796
44500,5.9187,0.5869
44550,5.7787,0.6105
44600,5.7014,0.5923
44650,5.8426,0.5788
44700,5.6164,0.5938
44750,5.6582,0.5758
44800,5.9136,0.5995
44850,5.8517,0.5891
44900,6.4801,0.5885
44950,5.8916,0.5873
45000,5.7138,0.5747
45050,6.1401,0.5842
45100,6.1857,0.5635
45150,6.3234,0.5641
45200,6.5506,0.5888
45250,6.4296,0.5725
45300,6.0785,0.5779
45350,6.1336,0.6113
45400,6.3940,0.5852
45450,6.0019,0.6020
45500,6.1836,0.5939
45550,5.7552,0.6103
45600,5.7743,0.5950
45650,5.5718,0.5686
45700,5.8360,0.5893
45750,5.9272,0.5979
45800,6.0122,0.5939
45850,6.3160,0.5945
45900,6.3832,0.6061
45950,6.4433,0.5944
46000,6.2099,0.5890
46050,6.1013,0.5891
46100,6.0214,0.5697
46150,6.2174,0.6015
